p=0.010000,max_ratio=1.005266, max_ratio_idx=20
p=0.020000,max_ratio=1.019651, max_ratio_idx=20
p=0.030000,max_ratio=1.041588, max_ratio_idx=20
p=0.040000,max_ratio=1.070005, max_ratio_idx=20
p=0.050000,max_ratio=1.104149, max_ratio_idx=20
p=0.060000,max_ratio=1.130154, max_ratio_idx=20
p=0.070000,max_ratio=1.135882, max_ratio_idx=20
p=0.080000,max_ratio=1.134501, max_ratio_idx=18
p=0.090000,max_ratio=1.133563, max_ratio_idx=16
p=0.100000,max_ratio=1.132561, max_ratio_idx=14
p=0.110000,max_ratio=1.131190, max_ratio_idx=13
p=0.120000,max_ratio=1.129390, max_ratio_idx=12
p=0.130000,max_ratio=1.128115, max_ratio_idx=11
p=0.140000,max_ratio=1.126981, max_ratio_idx=10
p=0.150000,max_ratio=1.125320, max_ratio_idx=10
p=0.160000,max_ratio=1.124280, max_ratio_idx=9
p=0.170000,max_ratio=1.123393, max_ratio_idx=9
p=0.180000,max_ratio=1.121077, max_ratio_idx=8
p=0.190000,max_ratio=1.120222, max_ratio_idx=8
p=0.200000,max_ratio=1.120662, max_ratio_idx=7
p=0.210000,max_ratio=1.118007, max_ratio_idx=7
p=0.220000,max_ratio=1.115647, max_ratio_idx=7
p=0.230000,max_ratio=1.113561, max_ratio_idx=7
p=0.240000,max_ratio=1.114059, max_ratio_idx=6
p=0.250000,max_ratio=1.115997, max_ratio_idx=6
p=0.260000,max_ratio=1.112328, max_ratio_idx=6
p=0.270000,max_ratio=1.108879, max_ratio_idx=6
p=0.280000,max_ratio=1.105638, max_ratio_idx=6
p=0.290000,max_ratio=1.104601, max_ratio_idx=5
p=0.300000,max_ratio=1.104540, max_ratio_idx=5
p=0.310000,max_ratio=1.104612, max_ratio_idx=5
p=0.320000,max_ratio=1.104811, max_ratio_idx=5
p=0.330000,max_ratio=1.105131, max_ratio_idx=5
p=0.340000,max_ratio=1.102420, max_ratio_idx=5
p=0.350000,max_ratio=1.098519, max_ratio_idx=4
p=0.360000,max_ratio=1.096530, max_ratio_idx=4
p=0.370000,max_ratio=1.094632, max_ratio_idx=4
p=0.380000,max_ratio=1.092821, max_ratio_idx=4
p=0.390000,max_ratio=1.091094, max_ratio_idx=4
p=0.400000,max_ratio=1.089450, max_ratio_idx=4
p=0.410000,max_ratio=1.087884, max_ratio_idx=4
p=0.420000,max_ratio=1.086396, max_ratio_idx=4
p=0.430000,max_ratio=1.084981, max_ratio_idx=4
p=0.440000,max_ratio=1.083638, max_ratio_idx=4
p=0.450000,max_ratio=1.082363, max_ratio_idx=4
p=0.460000,max_ratio=1.081155, max_ratio_idx=4
p=0.470000,max_ratio=1.080009, max_ratio_idx=4
p=0.480000,max_ratio=1.083189, max_ratio_idx=3
p=0.490000,max_ratio=1.086996, max_ratio_idx=3
p=0.500000,max_ratio=1.090909, max_ratio_idx=3
p=0.510000,max_ratio=1.087631, max_ratio_idx=3
p=0.520000,max_ratio=1.084408, max_ratio_idx=3
p=0.530000,max_ratio=1.081240, max_ratio_idx=3
p=0.540000,max_ratio=1.078127, max_ratio_idx=3
p=0.550000,max_ratio=1.075070, max_ratio_idx=3
p=0.560000,max_ratio=1.072067, max_ratio_idx=3
p=0.570000,max_ratio=1.069119, max_ratio_idx=3
p=0.580000,max_ratio=1.066226, max_ratio_idx=3
p=0.590000,max_ratio=1.063389, max_ratio_idx=3
p=0.600000,max_ratio=1.060606, max_ratio_idx=3
p=0.610000,max_ratio=1.057879, max_ratio_idx=3
p=0.620000,max_ratio=1.055207, max_ratio_idx=3
p=0.630000,max_ratio=1.052591, max_ratio_idx=3
p=0.640000,max_ratio=1.050031, max_ratio_idx=3
p=0.650000,max_ratio=1.047527, max_ratio_idx=3
p=0.660000,max_ratio=1.045079, max_ratio_idx=3
p=0.670000,max_ratio=1.042687, max_ratio_idx=3
p=0.680000,max_ratio=1.040353, max_ratio_idx=3
p=0.690000,max_ratio=1.038076, max_ratio_idx=3
p=0.700000,max_ratio=1.035857, max_ratio_idx=3
p=0.710000,max_ratio=1.033695, max_ratio_idx=3
p=0.720000,max_ratio=1.031593, max_ratio_idx=3
p=0.730000,max_ratio=1.029549, max_ratio_idx=3
p=0.740000,max_ratio=1.027565, max_ratio_idx=3
p=0.750000,max_ratio=1.025641, max_ratio_idx=3
p=0.760000,max_ratio=1.023778, max_ratio_idx=3
p=0.770000,max_ratio=1.021977, max_ratio_idx=3
p=0.780000,max_ratio=1.020237, max_ratio_idx=3
p=0.790000,max_ratio=1.018561, max_ratio_idx=3
p=0.800000,max_ratio=1.016949, max_ratio_idx=3
p=0.810000,max_ratio=1.015402, max_ratio_idx=3
p=0.820000,max_ratio=1.013920, max_ratio_idx=3
p=0.830000,max_ratio=1.012505, max_ratio_idx=3
p=0.840000,max_ratio=1.011158, max_ratio_idx=3
p=0.850000,max_ratio=1.009879, max_ratio_idx=3
p=0.860000,max_ratio=1.008671, max_ratio_idx=3
p=0.870000,max_ratio=1.007534, max_ratio_idx=3
p=0.880000,max_ratio=1.006470, max_ratio_idx=3
p=0.890000,max_ratio=1.005480, max_ratio_idx=3
p=0.900000,max_ratio=1.004566, max_ratio_idx=3
p=0.910000,max_ratio=1.003729, max_ratio_idx=3
p=0.920000,max_ratio=1.002972, max_ratio_idx=3
p=0.930000,max_ratio=1.002295, max_ratio_idx=3
p=0.940000,max_ratio=1.001701, max_ratio_idx=3
p=0.950000,max_ratio=1.001192, max_ratio_idx=3
p=0.960000,max_ratio=1.000770, max_ratio_idx=3
p=0.970000,max_ratio=1.000437, max_ratio_idx=3
p=0.980000,max_ratio=1.000196, max_ratio_idx=3
p=0.990000,max_ratio=1.000050, max_ratio_idx=3
p=1.000000,max_ratio=1.000000, max_ratio_idx=1
